urheilija urheilijat
täti tädit
setä sedät
poika pojat
tyttö tytöt
isä isät
äiti äidit
mies miehet
nainen naiset
lapsi lapset
lakimies lakimiehet
runoilija runoilijat
laulaja laulajat
opettaja opettajat
uhri uhrit
ystävä ystävät
viljelijä viljelijät
puuseppä puusepät
kaveri kaverit
presidentti presidentit
